Fold de Teste / Iteração      Acurácia    F1-Measure
--------------------------  ----------  ------------
1                            0.779221      0.622222
2                            0.766234      0.666667
3                            0.74026       0.62963
4                            0.753247      0.612245
5                            0.753247      0.641509
6                            0.675325      0.468085
7                            0.844156      0.75
8                            0.753247      0.641509
9                            0.684211      0.5
10                           0.723684      0.533333
Média (n = 10)               0.747283      0.60652
Desvio Padrão                0.0454231     0.0795821
